driver,circuit,predicted_lap_time_2016,actual_lap_time_2016,deviation_percent
Sebastian_Vettel,Hungaroring,80.88522338867188,80.874,0.013877622810643439
Daniil_Kvyat,Bahrain_International_Circuit,92.90848541259766,92.241,0.723632021116051
Kevin_Magnussen,Red_Bull_Ring,67.93644714355469,67.941,0.00670119139446726
Max_Verstappen,Losail_International_Circuit,80.5199966430664,,
Marcus_Ericsson,Circuit_Gilles_Villeneuve,75.6165542602539,75.635,0.02438783598347176
Kevin_Magnussen,Jeddah_Corniche_Circuit,89.0199966430664,,
Max_Verstappen,Albert_Park_Grand_Prix_Circuit,85.44207763671875,85.434,0.009454826788810662
George_Russell,Yas_Marina_Circuit,83.13208770751953,,
Esteban_Ocon,Autodromo_Enzo_e_Dino_Ferrari,75.11699676513672,,
Pierre_Gasly,Baku_City_Circuit,101.61639404296875,,
Fernando_Alonso,Bahrain_International_Circuit,89.54199981689453,,
Daniil_Kvyat,Circuit_de_BarcelonaCatalunya,84.47369384765625,84.445,0.0339793328867983
Kevin_Magnussen,Autdromo_Hermanos_Rodrguez,,81.131,
Daniel_Ricciardo,Silverstone_Circuit,90.63285064697266,90.618,0.016388186643560055
Lewis_Hamilton,Circuit_Gilles_Villeneuve,72.39019775390625,72.812,0.5793032001507273
Pierre_Gasly,Shanghai_International_Circuit,92.93000030517578,,
Esteban_Ocon,Autdromo_Hermanos_Rodrguez,81.87445831298828,81.881,0.007989261259289674
Esteban_Ocon,Red_Bull_Ring,64.64299774169922,,
Nico_Rosberg,Sepang_International_Circuit,93.34123229980469,93.264,0.08281040895167664
Daniel_Ricciardo,Red_Bull_Ring,65.98916625976562,66.84,1.272940963845569
Jenson_Button,Circuit_de_BarcelonaCatalunya,84.3620376586914,84.348,0.016642550731976184
Carlos_Sainz,Circuit_Gilles_Villeneuve,74.65880584716797,74.714,0.07387390961805002
Fernando_Alonso,Yas_Marina_Circuit,101.28507995605469,101.044,0.23858908599688314
Yuki_Tsunoda,Baku_City_Circuit,101.65400695800781,,
Fernando_Alonso,Red_Bull_Ring,67.64322662353516,67.671,0.0410417704258105
Sebastian_Vettel,Hockenheimring,75.31484985351562,75.315,0.00019935800885975737
Marcus_Ericsson,Autdromo_Jos_Carlos_Pace,73.44149780273438,73.623,0.24652920590797667
Daniel_Ricciardo,Marina_Bay_Street_Circuit,103.4417953491211,103.115,0.3169231916996546
Esteban_Ocon,Losail_International_Circuit,84.76300048828125,,
Daniil_Kvyat,Circuit_Gilles_Villeneuve,74.47142791748047,74.457,0.019377516526955314
Jenson_Button,Circuit_de_SpaFrancorchamps,,108.051,
Fernando_Alonso,Baku_City_Circuit,105.14859008789062,105.27,0.11533191992910709
Lando_Norris,Bahrain_International_Circuit,54.194000244140625,,
Alexander_Albon,Autdromo_Jos_Carlos_Pace,67.93499755859375,,
Kimi_Rikknen,Shanghai_International_Circuit,95.54714965820312,95.972,0.4426815548252295
Alexander_Albon,Autdromo_Hermanos_Rodrguez,75.33599853515625,,
Fernando_Alonso,Autodromo_Nazionale_di_Monza,82.93296813964844,83.273,0.4083338661409564
Nico_Hlkenberg,Red_Bull_Ring,67.26200103759766,67.257,0.007435713156476274
Nico_Rosberg,Circuit_de_SpaFrancorchamps,106.8312759399414,106.744,0.0817619163057469
Max_Verstappen,Marina_Bay_Street_Circuit,104.36666107177734,103.328,1.0052077576042706
Charles_Leclerc,Circuit_de_SpaFrancorchamps,102.51899719238281,,
Lance_Stroll,Circuit_Park_Zandvoort,70.36699676513672,,
