driver,circuit,predicted_lap_time_2019,actual_lap_time_2019,deviation_percent
Sebastian_Vettel,Hungaroring,74.96846771240234,75.071,0.13658042066530912
Daniil_Kvyat,Bahrain_International_Circuit,89.32719421386719,89.854,0.5862908564257704
Kevin_Magnussen,Red_Bull_Ring,64.32057189941406,64.072,0.38795714105078627
Max_Verstappen,Losail_International_Circuit,80.5199966430664,,
Marcus_Ericsson,Circuit_Gilles_Villeneuve,74.49500274658203,,
Kevin_Magnussen,Jeddah_Corniche_Circuit,89.0199966430664,,
Max_Verstappen,Albert_Park_Grand_Prix_Circuit,81.38005065917969,81.32,0.07384488339854196
George_Russell,Yas_Marina_Circuit,98.55689239501953,98.717,0.16218848322018245
Esteban_Ocon,Autodromo_Enzo_e_Dino_Ferrari,75.11699676513672,,
Pierre_Gasly,Baku_City_Circuit,104.85299682617188,,
Fernando_Alonso,Bahrain_International_Circuit,89.54199981689453,,
Daniil_Kvyat,Circuit_de_BarcelonaCatalunya,77.28152465820312,77.243,0.04987462709000169
Kevin_Magnussen,Autdromo_Hermanos_Rodrguez,78.41084289550781,78.436,0.032073415896010184
Daniel_Ricciardo,Silverstone_Circuit,86.04335021972656,86.182,0.1608802073210643
Lewis_Hamilton,Circuit_Gilles_Villeneuve,71.07528686523438,70.446,0.8932897045032748
Pierre_Gasly,Shanghai_International_Circuit,92.93831634521484,92.93,0.008949042521077078
Esteban_Ocon,Autdromo_Hermanos_Rodrguez,76.25199890136719,,
Esteban_Ocon,Red_Bull_Ring,64.64299774169922,,
Nico_Rosberg,Sepang_International_Circuit,93.26399993896484,,
Daniel_Ricciardo,Red_Bull_Ring,64.57139587402344,64.647,0.1169491638847403
Jenson_Button,Circuit_de_BarcelonaCatalunya,84.3479995727539,,
Carlos_Sainz,Circuit_Gilles_Villeneuve,71.66680908203125,71.572,0.13246672166663956
Fernando_Alonso,Yas_Marina_Circuit,83.19599914550781,,
Yuki_Tsunoda,Baku_City_Circuit,101.65400695800781,,
Fernando_Alonso,Red_Bull_Ring,64.47200012207031,,
Sebastian_Vettel,Hockenheimring,71.21199798583984,,
Marcus_Ericsson,Autdromo_Jos_Carlos_Pace,68.2959976196289,,
Daniel_Ricciardo,Marina_Bay_Street_Circuit,91.08501434326172,,
Esteban_Ocon,Losail_International_Circuit,82.01200103759766,,
Daniil_Kvyat,Circuit_Gilles_Villeneuve,71.93827819824219,71.92099999999999,0.024023857068443476
Jenson_Button,Circuit_de_SpaFrancorchamps,110.97799682617188,,
Fernando_Alonso,Baku_City_Circuit,101.25299835205078,,
Lando_Norris,Bahrain_International_Circuit,88.83028411865234,89.043,0.23889118891733502
Alexander_Albon,Autdromo_Jos_Carlos_Pace,67.9404067993164,67.935,0.007958783125640651
Kimi_Rikknen,Shanghai_International_Circuit,,93.419,
Alexander_Albon,Autdromo_Hermanos_Rodrguez,75.34690856933594,75.336,0.014479889210920381
Fernando_Alonso,Autodromo_Nazionale_di_Monza,80.42100524902344,,
Nico_Hlkenberg,Red_Bull_Ring,64.63819885253906,64.516,0.18940860025273906
Nico_Rosberg,Circuit_de_SpaFrancorchamps,125.59100341796875,,
Max_Verstappen,Marina_Bay_Street_Circuit,97.17101287841797,96.813,0.36979835189278953
Charles_Leclerc,Circuit_de_SpaFrancorchamps,102.87065887451172,102.519,0.34301824492212496
Lance_Stroll,Circuit_Park_Zandvoort,70.36699676513672,,
Pierre_Gasly,Circuit_de_Monaco,70.89600372314453,71.041,0.2041022463865452
Nico_Rosberg,Circuit_of_the_Americas,95.21499633789062,,
Nico_Hlkenberg,Hungaroring,76.98120880126953,76.565,0.5436019085346222
Max_Verstappen,Hungaroring,75.18313598632812,74.572,0.8195247362657865
Guanyu_Zhou,Bahrain_International_Circuit,90.75700378417969,,
Sebastian_Vettel,Albert_Park_Grand_Prix_Circuit,81.4235610961914,81.19,0.28767224558616644
Max_Verstappen,Silverstone_Circuit,85.32239532470703,85.276,0.05440607522284699
Yuki_Tsunoda,Jeddah_Corniche_Circuit,89.93900299072266,,
Valtteri_Bottas,Suzuka_Circuit,87.538330078125,87.293,0.2810420974476689
Esteban_Ocon,Circuit_Park_Zandvoort,82.11000061035156,,
Carlos_Sainz,Losail_International_Circuit,81.04100036621094,,
Guanyu_Zhou,Marina_Bay_Street_Circuit,92.05401611328125,,
Felipe_Massa,Shanghai_International_Circuit,93.50700378417969,,
Valtteri_Bottas,Sochi_Autodrom,92.28080749511719,92.632,0.37912654901418247
George_Russell,Marina_Bay_Street_Circuit,100.86888122558594,100.867,0.0018650555542774803
Daniel_Ricciardo,Autdromo_Jos_Carlos_Pace,69.02587890625,68.903,0.17833607571512733
Lando_Norris,Hungaroring,75.7991943359375,75.8,0.0010628813489408414
Lance_Stroll,Autdromo_Jos_Carlos_Pace,69.61784362792969,69.536,0.11769964900150444
Kevin_Magnussen,Circuit_Paul_Ricard,91.17377471923828,91.166,0.008528090777575449
Daniel_Ricciardo,Albert_Park_Grand_Prix_Circuit,82.57577514648438,82.57,0.006994243047573964
Esteban_Ocon,Circuit_Gilles_Villeneuve,72.08590698242188,,
Guanyu_Zhou,Miami_International_Autodrome,88.09100341796875,,
Lance_Stroll,Hungaroring,77.54550170898438,77.542,0.004515886854057682
Kimi_Rikknen,Red_Bull_Ring,63.98659133911133,64.056,0.10835622094521867
Lando_Norris,Suzuka_Circuit,88.46881866455078,88.464,0.005447034444274071
Antonio_Giovinazzi,Red_Bull_Ring,64.49906921386719,64.179,0.4987133078844878
Felipe_Massa,Hungaroring,103.99900817871094,,
Sebastian_Vettel,Circuit_Paul_Ricard,89.52442169189453,89.506,0.02058151620509354
Daniil_Kvyat,Sochi_Autodrom,99.49334716796875,99.544,0.05088486702488038
Yuki_Tsunoda,Yas_Marina_Circuit,85.21900177001953,,
Pierre_Gasly,Sochi_Autodrom,93.95051574707031,93.95,0.0005489590955930365
Daniel_Ricciardo,Sochi_Autodrom,93.59815979003906,93.661,0.06709325115142788
Lewis_Hamilton,Hungaroring,74.9822769165039,74.769,0.2852477851835664
Marcus_Ericsson,Circuit_de_SpaFrancorchamps,103.84600067138672,,
Yuki_Tsunoda,Bahrain_International_Circuit,92.75,,
Max_Verstappen,Circuit_Paul_Ricard,89.41812133789062,89.40899999999999,0.01020181177580913
Carlos_Sainz,Circuit_of_the_Americas,93.20718383789062,92.847,0.3879326611421272
Valtteri_Bottas,Shanghai_International_Circuit,91.74034881591797,91.547,0.2112016952144491
Jenson_Button,Marina_Bay_Street_Circuit,105.14399719238281,,
Max_Verstappen,Circuit_Park_Zandvoort,68.88500213623047,,
Kevin_Magnussen,Yas_Marina_Circuit,97.86089324951172,97.254,0.6240290882757664
Fernando_Alonso,Sochi_Autodrom,95.50399780273438,,
Nico_Hlkenberg,Baku_City_Circuit,103.427001953125,103.427,1.8884092096768507e-06
Esteban_Ocon,Hungaroring,75.71900177001953,,
Sebastian_Vettel,Circuit_de_BarcelonaCatalunya,76.50749206542969,76.27199999999999,0.30875297019836395
George_Russell,Silverstone_Circuit,87.78732299804688,87.789,0.001910264330527148
Romain_Grosjean,Hockenheimring,72.63577270507812,72.769,0.18308248694070337
Romain_Grosjean,Sochi_Autodrom,93.63411712646484,93.517,0.12523618856982993
Kevin_Magnussen,Autodromo_Nazionale_di_Monza,81.07716369628906,80.615,0.5732973966247816
Lando_Norris,Baku_City_Circuit,101.28099822998047,101.886,0.593802652002755
Romain_Grosjean,Albert_Park_Grand_Prix_Circuit,81.9098892211914,81.826,0.10252147384867016
Felipe_Massa,Red_Bull_Ring,66.53399658203125,,
Marcus_Ericsson,Autdromo_Hermanos_Rodrguez,76.51300048828125,,
Sebastian_Vettel,Circuit_de_Monaco,71.09765625,70.947,0.21235041650809372
Lewis_Hamilton,Autdromo_Jos_Carlos_Pace,67.9361572265625,67.699,0.3503112698304287
Romain_Grosjean,Red_Bull_Ring,64.20558166503906,64.49,0.4410270351386764
Daniil_Kvyat,Silverstone_Circuit,86.90653991699219,86.721,0.21395038917007858
Sergio_Prez,Shanghai_International_Circuit,93.29906463623047,93.299,6.927858869029268e-05
Yuki_Tsunoda,Miami_International_Autodrome,89.93199920654297,,
Alexander_Albon,Jeddah_Corniche_Circuit,90.49199676513672,,
Fernando_Alonso,Losail_International_Circuit,81.20800018310547,,
Alexander_Albon,Circuit_de_Monaco,71.42897033691406,71.429,4.1528071146938024e-05
Lance_Stroll,Miami_International_Autodrome,88.177001953125,,
Daniil_Kvyat,Sepang_International_Circuit,95.36901092529297,,
Pierre_Gasly,Albert_Park_Grand_Prix_Circuit,83.01905822753906,83.02,0.001134392268048086
Daniel_Ricciardo,Circuit_of_the_Americas,93.92974090576172,93.488,0.4725108096886437
Valtteri_Bottas,Autdromo_Jos_Carlos_Pace,67.92880249023438,67.874,0.08074150666585111
Jenson_Button,Shanghai_International_Circuit,97.59300231933594,,
Fernando_Alonso,Hungaroring,76.04299926757812,,
Felipe_Massa,Silverstone_Circuit,91.48200225830078,,
Kevin_Magnussen,Hungaroring,76.8736343383789,76.122,0.9874075016143905
Charles_Leclerc,Circuit_de_BarcelonaCatalunya,76.4808578491211,76.588,0.13989417516960898
Carlos_Sainz,Autdromo_Jos_Carlos_Pace,68.82599639892578,,
George_Russell,Autdromo_Hermanos_Rodrguez,78.81083679199219,78.82300000000001,0.01543103917361684
Romain_Grosjean,Hungaroring,76.35958099365234,76.013,0.4559496318423671
Nicholas_Latifi,Red_Bull_Ring,65.17499542236328,,
Marcus_Ericsson,Circuit_de_Monaco,73.26499938964844,,
Guanyu_Zhou,Autodromo_Nazionale_di_Monza,81.44499969482422,,
Lance_Stroll,Sochi_Autodrom,94.19619750976562,94.233,0.03905477936007459
Marcus_Ericsson,Circuit_de_BarcelonaCatalunya,79.49299621582031,,
Lando_Norris,Marina_Bay_Street_Circuit,97.57962799072266,97.572,0.007817807078519987
Kevin_Magnussen,Shanghai_International_Circuit,93.56592559814453,93.15,0.44651164588784276
Pierre_Gasly,Yas_Marina_Circuit,97.86347198486328,97.089,0.797692822939038
Valtteri_Bottas,Circuit_Park_Zandvoort,69.22200012207031,,
Sergio_Prez,Circuit_of_the_Americas,95.80565643310547,95.808,0.0024461077306051526
Felipe_Massa,Circuit_of_the_Americas,95.15499877929688,,
Carlos_Sainz,Bahrain_International_Circuit,89.23037719726562,88.813,0.46995056722059
Lance_Stroll,Yas_Marina_Circuit,97.09403228759766,97.103,0.009235257821424857
Alexander_Albon,Circuit_de_BarcelonaCatalunya,77.4642105102539,77.445,0.02480535896947908
Carlos_Sainz,Autdromo_Hermanos_Rodrguez,75.98870086669922,76.014,0.033282202358482706
Pierre_Gasly,Circuit_Park_Zandvoort,69.47799682617188,,
Daniel_Ricciardo,Yas_Marina_Circuit,96.6443099975586,96.456,0.19522891013373006
Jenson_Button,Silverstone_Circuit,92.78800201416016,,
Nico_Hlkenberg,Sochi_Autodrom,93.37027740478516,93.289,0.08712431774931104
Lance_Stroll,Baku_City_Circuit,102.63182067871094,102.63,0.0017740219340758527
Pierre_Gasly,Circuit_de_BarcelonaCatalunya,76.70125579833984,76.708,0.008792044715224824
Charles_Leclerc,Marina_Bay_Street_Circuit,96.23516845703125,96.217,0.018882793093997163
Lando_Norris,Autdromo_Hermanos_Rodrguez,76.26835632324219,76.322,0.0702859945465465
