driver,circuit,predicted_lap_time_2020,actual_lap_time_2020,deviation_percent
Sebastian_Vettel,Hungaroring,74.82106018066406,74.774,0.062936556375293
Daniil_Kvyat,Bahrain_International_Circuit,88.60677337646484,88.618,0.012668558910324366
Kevin_Magnussen,Red_Bull_Ring,64.9554214477539,65.164,0.3200824876405611
Max_Verstappen,Losail_International_Circuit,80.5199966430664,,
Marcus_Ericsson,Circuit_Gilles_Villeneuve,74.49500274658203,,
Kevin_Magnussen,Jeddah_Corniche_Circuit,89.0199966430664,,
Max_Verstappen,Albert_Park_Grand_Prix_Circuit,75.91500091552734,,
George_Russell,Yas_Marina_Circuit,98.11219787597656,98.045,0.06853778976649579
Esteban_Ocon,Autodromo_Enzo_e_Dino_Ferrari,75.12078857421875,75.201,0.10666271164112634
Pierre_Gasly,Baku_City_Circuit,101.56500244140625,,
Fernando_Alonso,Bahrain_International_Circuit,89.54199981689453,,
Daniil_Kvyat,Circuit_de_BarcelonaCatalunya,77.19221496582031,77.19200000000001,0.0002784819933480464
Kevin_Magnussen,Autdromo_Hermanos_Rodrguez,76.88600158691406,,
Daniel_Ricciardo,Silverstone_Circuit,86.36160278320312,86.009,0.40996033345710875
Lewis_Hamilton,Circuit_Gilles_Villeneuve,82.89099884033203,,
Pierre_Gasly,Shanghai_International_Circuit,92.93000030517578,,
Esteban_Ocon,Autdromo_Hermanos_Rodrguez,76.25199890136719,,
Esteban_Ocon,Red_Bull_Ring,64.9485855102539,64.643,0.47272792143604964
Nico_Rosberg,Sepang_International_Circuit,93.26399993896484,,
Daniel_Ricciardo,Red_Bull_Ring,64.64834594726562,64.023,0.9767520223445151
Jenson_Button,Circuit_de_BarcelonaCatalunya,84.3479995727539,,
Carlos_Sainz,Circuit_Gilles_Villeneuve,71.5719985961914,,
Fernando_Alonso,Yas_Marina_Circuit,88.08606719970703,,
Yuki_Tsunoda,Baku_City_Circuit,101.65400695800781,,
Fernando_Alonso,Red_Bull_Ring,64.47200012207031,,
Sebastian_Vettel,Hockenheimring,71.21199798583984,,
Marcus_Ericsson,Autdromo_Jos_Carlos_Pace,68.2959976196289,,
Daniel_Ricciardo,Marina_Bay_Street_Circuit,91.08501434326172,,
Esteban_Ocon,Losail_International_Circuit,82.01200103759766,,
Daniil_Kvyat,Circuit_Gilles_Villeneuve,71.9209976196289,,
Jenson_Button,Circuit_de_SpaFrancorchamps,110.97799682617188,,
Fernando_Alonso,Baku_City_Circuit,101.25299835205078,,
Lando_Norris,Bahrain_International_Circuit,89.07527923583984,88.542,0.6022895753877733
Alexander_Albon,Autdromo_Jos_Carlos_Pace,67.93521881103516,,
Kimi_Rikknen,Shanghai_International_Circuit,91.1820068359375,,
Alexander_Albon,Autdromo_Hermanos_Rodrguez,75.33599853515625,,
Fernando_Alonso,Autodromo_Nazionale_di_Monza,80.42100524902344,,
Nico_Hlkenberg,Red_Bull_Ring,64.51599884033203,,
Nico_Rosberg,Circuit_de_SpaFrancorchamps,106.74400329589844,,
Max_Verstappen,Marina_Bay_Street_Circuit,89.68000793457031,,
Charles_Leclerc,Circuit_de_SpaFrancorchamps,103.05985260009766,102.996,0.061995223210281114
Lance_Stroll,Circuit_Park_Zandvoort,70.36699676513672,,
Pierre_Gasly,Circuit_de_Monaco,70.89600372314453,,
Nico_Rosberg,Circuit_of_the_Americas,95.21499633789062,,
Nico_Hlkenberg,Hungaroring,76.33407592773438,,
Max_Verstappen,Hungaroring,75.30764770507812,74.849,0.6127639715669163
Guanyu_Zhou,Bahrain_International_Circuit,90.75700378417969,,
Sebastian_Vettel,Albert_Park_Grand_Prix_Circuit,81.19001007080078,,
Max_Verstappen,Silverstone_Circuit,85.49755859375,85.325,0.20223685174333098
Yuki_Tsunoda,Jeddah_Corniche_Circuit,89.93900299072266,,
Valtteri_Bottas,Suzuka_Circuit,87.29299926757812,,
