driver,circuit,predicted_lap_time_2024,actual_lap_time_2024,deviation_percent
Sebastian_Vettel,Hungaroring,74.77400207519531,,
Daniil_Kvyat,Bahrain_International_Circuit,53.85603713989258,,
Kevin_Magnussen,Red_Bull_Ring,65.35223388671875,65.347,0.008009375669511681
Max_Verstappen,Losail_International_Circuit,80.52863311767578,80.52,0.010721706005694522
Marcus_Ericsson,Circuit_Gilles_Villeneuve,74.49500274658203,,
Kevin_Magnussen,Jeddah_Corniche_Circuit,89.02184295654297,89.02,0.0020702724589673435
Max_Verstappen,Albert_Park_Grand_Prix_Circuit,76.02354431152344,75.91499999999999,0.1429813759118033
George_Russell,Yas_Marina_Circuit,83.4518051147461,83.132,0.3846955621735177
Esteban_Ocon,Autodromo_Enzo_e_Dino_Ferrari,75.90597534179688,75.906,3.248518316195256e-05
Pierre_Gasly,Baku_City_Circuit,103.20384216308594,103.088,0.11237211225937416
Fernando_Alonso,Bahrain_International_Circuit,89.63229370117188,89.542,0.10083949562425835
Daniil_Kvyat,Circuit_de_BarcelonaCatalunya,77.19200134277344,,
Kevin_Magnussen,Autdromo_Hermanos_Rodrguez,76.90531158447266,76.886,0.02511716628860985
Daniel_Ricciardo,Silverstone_Circuit,87.9414291381836,87.949,0.008608240930999008
Lewis_Hamilton,Circuit_Gilles_Villeneuve,71.9618148803711,71.979,0.02387518530252637
Pierre_Gasly,Shanghai_International_Circuit,95.2860107421875,95.287,0.0010381875938020287
Esteban_Ocon,Autdromo_Hermanos_Rodrguez,77.612060546875,77.617,0.006363880496546419
Esteban_Ocon,Red_Bull_Ring,65.2558364868164,65.274,0.02782656675490189
Nico_Rosberg,Sepang_International_Circuit,93.26399993896484,,
Daniel_Ricciardo,Red_Bull_Ring,65.29196166992188,65.289,0.004536246414975758
Jenson_Button,Circuit_de_BarcelonaCatalunya,84.3479995727539,,
Carlos_Sainz,Circuit_Gilles_Villeneuve,72.78716278076172,72.728,0.08134801006727027
Fernando_Alonso,Yas_Marina_Circuit,83.88367462158203,83.196,0.826571736119565
Yuki_Tsunoda,Baku_City_Circuit,103.0560073852539,103.035,0.02038859150182915
Fernando_Alonso,Red_Bull_Ring,65.73584747314453,65.639,0.14754562553441622
Sebastian_Vettel,Hockenheimring,71.21199798583984,,
Marcus_Ericsson,Autdromo_Jos_Carlos_Pace,68.2959976196289,,
Daniel_Ricciardo,Marina_Bay_Street_Circuit,91.22142791748047,91.085,0.1497808832194928
Esteban_Ocon,Losail_International_Circuit,82.71397399902344,82.714,3.14347952718231e-05
Daniil_Kvyat,Circuit_Gilles_Villeneuve,71.9209976196289,,
Jenson_Button,Circuit_de_SpaFrancorchamps,110.97799682617188,,
Fernando_Alonso,Baku_City_Circuit,102.35865020751953,102.369,0.010110279948488822
Lando_Norris,Bahrain_International_Circuit,90.03182220458984,89.614,0.46624657373829914
Alexander_Albon,Autdromo_Jos_Carlos_Pace,84.62348175048828,84.657,0.03959300413635639
Kimi_Rikknen,Shanghai_International_Circuit,91.1820068359375,,
Alexander_Albon,Autdromo_Hermanos_Rodrguez,76.98822784423828,76.988,0.0002959477298821956
Fernando_Alonso,Autodromo_Nazionale_di_Monza,80.9522705078125,80.42099999999999,0.660611665873973
Nico_Hlkenberg,Red_Bull_Ring,65.24478912353516,65.262,0.026371972150476857
Nico_Rosberg,Circuit_de_SpaFrancorchamps,106.74400329589844,,
Max_Verstappen,Marina_Bay_Street_Circuit,91.31917572021484,89.68,1.8278052187944211
Charles_Leclerc,Circuit_de_SpaFrancorchamps,113.7870864868164,113.754,0.029085998572710728
Lance_Stroll,Circuit_Park_Zandvoort,70.66205596923828,70.661,0.0014944159271449396
Pierre_Gasly,Circuit_de_Monaco,70.94731140136719,70.896,0.07237559434550143
Nico_Rosberg,Circuit_of_the_Americas,95.21499633789062,,
Nico_Hlkenberg,Hungaroring,76.64806365966797,76.31700000000001,0.43380067307148007
Max_Verstappen,Hungaroring,76.21984100341797,75.273,1.257876002574592
Guanyu_Zhou,Bahrain_International_Circuit,90.75726318359375,90.757,0.0002899871015403746
Sebastian_Vettel,Albert_Park_Grand_Prix_Circuit,81.19001007080078,,
Max_Verstappen,Silverstone_Circuit,86.2146224975586,86.203,0.01348270658630302
Yuki_Tsunoda,Jeddah_Corniche_Circuit,88.5469970703125,88.547,3.3086242301197586e-06
Valtteri_Bottas,Suzuka_Circuit,89.5748519897461,89.593,0.020256058234359574
Esteban_Ocon,Circuit_Park_Zandvoort,72.00081634521484,71.995,0.008078818271878884
Carlos_Sainz,Losail_International_Circuit,81.05481719970703,81.041,0.017049641177964776
Guanyu_Zhou,Marina_Bay_Street_Circuit,92.07486724853516,92.054,0.02266848647006562
Felipe_Massa,Shanghai_International_Circuit,93.50700378417969,,
Valtteri_Bottas,Sochi_Autodrom,91.38700103759766,,
George_Russell,Marina_Bay_Street_Circuit,90.15341186523438,89.867,0.31870638302643967
Daniel_Ricciardo,Autdromo_Jos_Carlos_Pace,67.77999877929688,,
Lando_Norris,Hungaroring,75.22686767578125,75.227,0.00017589990130387407
Lance_Stroll,Autdromo_Jos_Carlos_Pace,86.3337631225586,86.334,0.00027437329604725047
Kevin_Magnussen,Circuit_Paul_Ricard,91.16600036621094,,
Daniel_Ricciardo,Albert_Park_Grand_Prix_Circuit,78.13352966308594,78.08500000000001,0.06214978944218421
