year,lap_time_seconds,teammate_time,constructorId
2014,100.866,100.47999999999999,131
2015,100.614,100.237,131
2016,98.755,99.05799999999999,131
2017,96.40299999999999,96.231,131
2018,94.794,94.956,131
2019,94.779,94.973,131
2020,95.332,95.271,131
2021,82.48,83.036,131
2022,84.508,84.511,131
2023,84.35900000000001,83.788,131
2024,83.887,83.132,131
