year,lap_time_seconds,teammate_time,constructorId
2014,97.112,97.35,10
2015,93.673,94.25,10
2016,91.77,91.875,10
2017,88.856,90.193,4
2018,87.901,88.456,4
2019,86.386,86.182,4
2020,86.327,85.839,211
2020,86.082,86.428,211
2023,88.896,92.378,210
2024,86.338,92.905,210
