year,lap_time_seconds,teammate_time,constructorId
2019,65.904,66.206,3
2020,65.167,65.757,3
2020,79.636,81.759,3
2021,64.671,65.175,3
2021,64.553,65.195,3
2022,65.431,65.475,131
2023,65.428,64.819,131
2024,64.84,64.903,131
