year,lap_time_seconds,teammate_time,constructorId
2018,64.967,65.479,15
2019,63.003,63.667,6
2020,63.923,64.206,6
2020,79.628,79.545,6
2021,64.472,64.8,6
2021,64.6,64.559,6
2022,65.013,65.066,6
2023,64.439,64.581,6
2024,65.044,64.851,6
