year,lap_time_seconds,teammate_time,constructorId
2018,72.714,73.265,15
2019,72.149,70.947,6
2021,70.346,70.611,6
2022,71.376,71.601,6
2023,71.471,71.63,6
2024,70.27,70.518,6
