year,lap_time_seconds,teammate_time,constructorId
2015,109.065,109.831,5
2016,108.876,109.05799999999999,5
2017,105.374,106.02799999999999,5
2018,104.489,104.14500000000001,4
2019,106.507,104.84700000000001,1
2020,102.438,102.657,1
2021,118.137,117.721,6
2022,104.297,104.551,6
2023,107.152,106.988,6
2024,114.112,113.75399999999999,6
