year,lap_time_seconds,teammate_time,constructorId
2016,106.348,106.394,4
2017,103.79599999999999,104.468,210
2018,103.674,,210
2019,102.382,103.407,210
2022,104.643,105.775,210
2023,103.417,102.755,210
